a_Cr,a_Si,a_Mo,a_Co,a_C,a_Mn,C0,a_Ni,a_Al,a_V
298.2618408203125,66.77777099609375,483.77056884765625,493.2269592285156,145.21759033203125,269.9893798828125,46.1468505859375,90.64508056640625,-176.037841796875,16.405029296875
293.5860595703125,67.37457275390625,481.02392578125,276.0887451171875,153.025390625,320.07623291015625,26.7640380859375,65.86572265625,-130.8314208984375,257.6795654296875
293.87493896484375,73.31781005859375,483.90264892578125,454.06671142578125,131.1607666015625,294.23309326171875,47.5621337890625,97.17108154296875,-226.3896484375,420.0361328125
266.84271240234375,62.7410888671875,464.62762451171875,341.27960205078125,162.621337890625,324.42041015625,20.604736328125,98.001220703125,-97.1439208984375,491.0030822753906
284.285888671875,63.26849365234375,480.57305908203125,356.01458740234375,172.63427734375,298.39727783203125,6.9822998046875,91.98876953125,-197.8670654296875,506.49127197265625
286.7215576171875,75.140625,486.889892578125,423.15753173828125,158.296875,302.803466796875,22.97509765625,81.14599609375,-135.185546875,565.1151733398438
315.52978515625,62.80035400390625,510.0108337402344,251.8983154296875,155.064697265625,319.91595458984375,4.1820068359375,81.5777587890625,-116.0499267578125,770.1273193359375
300.91900634765625,70.02313232421875,482.8802490234375,478.57904052734375,145.1556396484375,287.76373291015625,31.479248046875,83.46722412109375,-163.2589111328125,599.31787109375
296.41864013671875,80.63775634765625,484.60595703125,472.01385498046875,142.70355224609375,320.107666015625,10.2236328125,83.64642333984375,-172.612060546875,713.8231201171875
297.4906005859375,51.55712890625,479.96875,230.34368896484375,146.269287109375,341.93231201171875,14.3985595703125,77.7137451171875,-130.546875,934.777587890625
302.70733642578125,63.175048828125,425.561279296875,426.3323974609375,175.0877685546875,277.9373779296875,25.5299072265625,78.066650390625,-137.7056884765625,926.528564453125
272.478271484375,54.21929931640625,457.53515625,276.4954833984375,186.56103515625,291.59649658203125,19.60888671875,79.27716064453125,-130.7923583984375,583.3024291992188
307.60552978515625,75.55224609375,525.906005859375,318.48126220703125,144.1907958984375,309.8055419921875,14.2698974609375,72.49346923828125,-88.9742431640625,511.6956787109375
300.0750732421875,83.879150390625,499.2887878417969,235.74853515625,160.4620361328125,295.01373291015625,4.0819091796875,80.73443603515625,-117.415283203125,413.82427978515625
250.85418701171875,73.4150390625,473.58056640625,360.8385009765625,161.6505126953125,329.74761962890625,19.867919921875,90.02508544921875,-139.0870361328125,438.2125244140625
293.3270263671875,57.945556640625,482.2537841796875,242.245361328125,160.30548095703125,340.2476806640625,2.50244140625,92.29913330078125,-86.07080078125,758.9275512695312
259.72869873046875,46.13812255859375,433.8961181640625,401.1685791015625,148.60174560546875,316.033447265625,96.966552734375,73.90777587890625,-153.707275390625,800.1149291992188
270.23944091796875,88.39801025390625,460.005859375,408.19525146484375,111.64410400390625,259.5006103515625,105.7327880859375,91.821044921875,-57.7099609375,910.26904296875
266.7845458984375,56.39715576171875,437.3331298828125,398.09674072265625,173.07989501953125,293.82427978515625,40.925537109375,89.97509765625,-106.6943359375,878.7664184570312
294.00775146484375,43.71246337890625,463.97430419921875,344.77349853515625,124.0643310546875,336.73651123046875,63.6954345703125,67.23309326171875,-77.2296142578125,772.1860961914062
267.92681884765625,47.51348876953125,463.60052490234375,385.51727294921875,177.31134033203125,331.89434814453125,6.7313232421875,72.8338623046875,-160.3985595703125,892.0374145507812
289.290771484375,71.79058837890625,474.2066650390625,475.36163330078125,172.7757568359375,269.60888671875,13.828857421875,67.50885009765625,-157.150146484375,670.7288818359375
304.45989990234375,57.88787841796875,473.35693359375,405.0352783203125,144.19244384765625,306.2523193359375,15.866943359375,82.83087158203125,-92.2354736328125,598.266357421875
291.05340576171875,58.36590576171875,498.390380859375,439.93511962890625,172.71148681640625,297.6614990234375,7.46435546875,84.88623046875,-183.9974365234375,547.1900634765625
296.253173828125,72.67510986328125,493.77496337890625,362.49212646484375,137.77911376953125,309.1497802734375,44.4947509765625,86.30120849609375,25.5543212890625,577.669921875
295.1185302734375,68.697998046875,500.4141540527344,335.66412353515625,153.4232177734375,321.0517578125,5.281982421875,84.70550537109375,-126.44580078125,396.44818115234375
268.294189453125,37.43634033203125,480.1783447265625,274.23394775390625,164.41839599609375,334.20458984375,64.385986328125,63.033447265625,-56.1243896484375,483.67779541015625
286.42877197265625,82.31707763671875,484.27301025390625,451.329833984375,134.56976318359375,302.04791259765625,24.6148681640625,102.61553955078125,-132.9627685546875,460.54608154296875
281.55029296875,68.80499267578125,465.93829345703125,462.4456787109375,131.12139892578125,315.128173828125,60.9744873046875,87.134033203125,-142.6046142578125,683.4401245117188
286.304443359375,74.73406982421875,442.05584716796875,196.719970703125,186.337158203125,284.65020751953125,22.5552978515625,65.67376708984375,-108.97900390625,745.40380859375
303.91802978515625,80.31756591796875,480.74822998046875,434.79937744140625,170.2015380859375,282.0548095703125,7.0849609375,70.29034423828125,-181.46826171875,487.53192138671875
260.3009033203125,92.40411376953125,496.5423889160156,486.83160400390625,144.92156982421875,304.662841796875,29.733154296875,98.08575439453125,-160.8787841796875,369.115234375
307.7738037109375,61.77069091796875,479.593505859375,408.59979248046875,167.18304443359375,301.1898193359375,8.893798828125,80.09954833984375,-106.595947265625,379.10321044921875
274.1644287109375,73.45062255859375,458.1051025390625,334.9580078125,164.13287353515625,293.87677001953125,51.0982666015625,82.945556640625,-121.730712890625,442.48638916015625
263.84625244140625,79.50433349609375,450.9840087890625,260.6427001953125,145.002197265625,300.3009033203125,92.7861328125,72.8798828125,-139.7833251953125,304.33294677734375
296.03826904296875,62.662353515625,496.8684387207031,535.190673828125,158.13763427734375,297.9620361328125,3.08447265625,88.36920166015625,-143.7628173828125,298.73626708984375
297.87542724609375,64.6016845703125,458.66845703125,389.22930908203125,140.067138671875,285.4945068359375,84.1546630859375,81.28863525390625,-182.3731689453125,230.3382568359375
283.99676513671875,65.2320556640625,466.33831787109375,409.05987548828125,135.0186767578125,322.05511474609375,75.2237548828125,73.072998046875,-141.6446533203125,354.843017578125
268.90338134765625,77.65252685546875,450.20928955078125,584.8934326171875,157.34320068359375,280.12994384765625,76.1427001953125,78.74615478515625,-226.077880859375,607.2176513671875
