b_0,ET,b_1,a_0
513.0613403320312,0.7835249900817871,-1087.867431640625,14466.48046875
484.1539306640625,1.3335034847259521,-1099.4339599609375,11997.4208984375
401.6963806152344,1.2558972835540771,-1089.59326171875,8652.5224609375
573.5088500976562,1.1205977201461792,-1114.90234375,13878.2607421875
366.2703857421875,0.6783989071846008,-1081.2900390625,7100.73046875
319.8273620605469,0.9923242330551147,-1112.3934326171875,8044.32763671875
447.63922119140625,0.6534636616706848,-1093.1031494140625,13475.4921875
530.8042602539062,1.2932515144348145,-1115.257568359375,13708.7822265625
433.7606201171875,1.0701828002929688,-1104.7637939453125,11499.4482421875
337.47100830078125,0.8027007579803467,-1094.48291015625,8338.4716796875
389.51226806640625,0.9689012765884399,-1088.412841796875,10674.5693359375
431.4997863769531,0.10542541742324829,-1094.9390869140625,11962.1044921875
292.6978454589844,0.539861261844635,-1084.6021728515625,3736.453857421875
327.2539367675781,0.9562153816223145,-1118.73388671875,7907.42431640625
306.92596435546875,0.7429123520851135,-1104.158935546875,8711.6923828125
210.82725524902344,0.6061654090881348,-1103.19580078125,5276.35009765625
293.3504638671875,1.0983386039733887,-1099.318603515625,7444.4638671875
368.9401550292969,0.5188047289848328,-1100.05419921875,12318.2255859375
456.3531799316406,0.26740020513534546,-1094.5257568359375,11239.578125
393.6036071777344,1.3870530128479004,-1088.77880859375,11376.0283203125
255.50108337402344,0.6053542494773865,-1093.855712890625,3771.165771484375
315.3187561035156,1.1648485660552979,-1102.286376953125,2793.34375
344.7539978027344,1.2125511169433594,-1116.00390625,10832.3994140625
375.40167236328125,0.32045191526412964,-1075.88330078125,7896.4970703125
478.48931884765625,1.3980607986450195,-1098.37646484375,13417.6474609375
303.3136901855469,0.6964713335037231,-1100.935791015625,6693.29296875
381.6244812011719,1.194793701171875,-1109.1829833984375,13169.1884765625
406.4175109863281,1.611653447151184,-1121.2132568359375,7356.623046875
503.9599914550781,0.6870909929275513,-1096.0086669921875,13835.7001953125
472.7011413574219,0.6644945740699768,-1100.151123046875,16505.7734375
496.5976257324219,0.591558575630188,-1100.0009765625,10329.3994140625
626.1146240234375,1.0296376943588257,-1099.6959228515625,21505.82421875
594.9662475585938,0.8372771739959717,-1107.92529296875,16580.3359375
583.201171875,0.893241822719574,-1121.0869140625,17204.791015625
508.37591552734375,0.5633493661880493,-1089.771728515625,14016.083984375
439.70751953125,0.9134376645088196,-1110.170654296875,9795.306640625
338.0975646972656,0.9194519519805908,-1107.277099609375,9178.931640625
498.15728759765625,0.9707223773002625,-1098.327392578125,16233.2998046875
520.3198852539062,1.0742566585540771,-1108.645751953125,15889.6689453125
472.6004638671875,0.48002365231513977,-1074.3680419921875,12585.2744140625
425.8675842285156,0.47189387679100037,-1091.6798095703125,9439.458984375
304.7182312011719,0.917741060256958,-1089.65869140625,10149.7705078125
268.859375,1.4915502071380615,-1113.97705078125,3718.330322265625
200.7781524658203,1.1688345670700073,-1099.7904052734375,2233.854248046875
178.18609619140625,0.5086751580238342,-1088.926025390625,5773.76171875
287.6960754394531,0.656848669052124,-1127.70849609375,9976.1083984375
471.9021911621094,1.075960397720337,-1100.4130859375,12635.1396484375
608.6773071289062,0.9034715890884399,-1098.188720703125,17909.087890625
592.4942626953125,0.6242645382881165,-1111.358154296875,16077.5107421875
477.7952575683594,0.6375366449356079,-1085.38623046875,14309.8994140625
708.1619873046875,0.8440396189689636,-1098.104736328125,20056.072265625
656.1836547851562,1.1115576028823853,-1124.41357421875,20185.982421875
595.5255126953125,1.215494990348816,-1108.9910888671875,17403.0546875
615.998291015625,0.3440694808959961,-1096.06298828125,19762.814453125
501.9797058105469,0.9572383165359497,-1083.9306640625,13543.6552734375
521.5198974609375,0.19031453132629395,-1082.1375732421875,15976.10546875
296.02459716796875,0.8078029751777649,-1103.102294921875,6713.40771484375
349.3367919921875,1.102474331855774,-1100.1153564453125,10383.349609375
241.51722717285156,0.909226655960083,-1110.038818359375,2404.658447265625
241.63816833496094,0.9600687026977539,-1104.6727294921875,3773.135009765625
362.8322448730469,0.4215395152568817,-1075.028564453125,6041.15966796875
382.46954345703125,0.8951019048690796,-1095.520263671875,9386.7275390625
318.15374755859375,1.2100938558578491,-1113.135986328125,9136.9970703125
286.62042236328125,1.0437713861465454,-1090.5936279296875,7361.939453125
241.8399658203125,0.9979711771011353,-1109.774169921875,6323.9775390625
401.3002014160156,0.9284101724624634,-1085.9354248046875,12123.623046875
463.0929260253906,0.7667703032493591,-1110.9818115234375,9128.470703125
475.9117126464844,0.4802316427230835,-1083.861083984375,11171.6044921875
329.5124206542969,0.18332168459892273,-1095.442138671875,8801.7431640625
388.9992370605469,1.3232206106185913,-1097.48828125,13584.013671875
450.02239990234375,0.9975502490997314,-1110.2557373046875,11717.3408203125
453.08697509765625,1.108628273010254,-1114.18701171875,13846.14453125
333.74420166015625,0.21651959419250488,-1106.9422607421875,10127.1796875
282.4231872558594,0.6961169838905334,-1092.572265625,4724.76708984375
145.07418823242188,0.9702898263931274,-1099.713623046875,4759.33203125
165.82980346679688,1.3362696170806885,-1106.849365234375,2701.34375
222.56715393066406,1.2148960828781128,-1099.896484375,3590.841552734375
180.51394653320312,1.003912329673767,-1090.747802734375,784.2304077148438
120.656494140625,0.9098289012908936,-1099.950439453125,5277.09033203125
191.38198852539062,0.47850853204727173,-1130.3604736328125,6657.4677734375
258.0023498535156,0.8966065049171448,-1106.42529296875,4668.29736328125
272.2625427246094,0.8990411758422852,-1107.95068359375,8365.291015625
231.12701416015625,1.1571422815322876,-1101.6700439453125,8612.453125
170.64080810546875,0.7070344686508179,-1100.88720703125,2953.372314453125
231.96023559570312,1.1403847932815552,-1109.2786865234375,5414.74951171875
353.61962890625,0.1914958357810974,-1084.912353515625,8610.078125
407.3088684082031,0.6948850154876709,-1110.710205078125,11353.189453125
347.5719299316406,0.8388140797615051,-1094.63525390625,9474.9150390625
419.6376647949219,1.2839558124542236,-1094.989013671875,9845.36328125
394.4986572265625,0.7027074694633484,-1090.464111328125,8220.05078125
647.6077270507812,1.0310516357421875,-1108.728515625,19879.34765625
