a_Mo,a_Co,a_Cr,a_C,a_Mn,a_Al,C0,a_V,a_Ni,a_Si
471.3826904296875,404.54736328125,276.752685546875,-164.70501708984375,244.53955078125,-144.55694580078125,104.98681640625,585.2965087890625,81.6287841796875,75.8370361328125
463.0732421875,406.0855712890625,279.1414794921875,-146.0006103515625,269.552490234375,-200.87652587890625,85.420654296875,539.418212890625,74.04541015625,57.6922607421875
514.3974609375,386.1944580078125,295.02197265625,-149.53631591796875,295.7298583984375,-135.5634765625,4.91656494140625,548.625732421875,87.1639404296875,75.5311279296875
497.9666748046875,341.2598876953125,293.3580322265625,-152.05950927734375,289.4072265625,-124.4072265625,31.68994140625,669.5953369140625,78.966552734375,54.8701171875
529.8817138671875,358.365966796875,292.7874755859375,-152.94537353515625,305.806396484375,-118.4296875,-23.7332763671875,587.864990234375,88.7327880859375,86.0252685546875
478.16357421875,423.2352294921875,282.1673583984375,-160.8304443359375,282.9237060546875,-166.49542236328125,114.3350830078125,618.06103515625,71.6395263671875,61.3720703125
456.6190185546875,335.8614501953125,274.8482666015625,-166.07562255859375,261.154541015625,-128.37762451171875,97.2747802734375,601.6220703125,86.1636962890625,75.6536865234375
516.119384765625,175.1922607421875,289.645263671875,-163.77435302734375,297.1329345703125,-164.36273193359375,34.00634765625,608.8018798828125,76.3380126953125,72.2132568359375
531.3250732421875,254.43408203125,311.008544921875,-152.8553466796875,316.951416015625,-114.04876708984375,-4.33465576171875,570.4066162109375,76.8309326171875,58.3673095703125
527.122314453125,160.6751708984375,283.5233154296875,-132.05230712890625,354.2530517578125,-112.416015625,-16.26556396484375,498.990966796875,75.185302734375,55.05517578125
497.6824951171875,133.373779296875,286.483642578125,-135.3338623046875,350.984130859375,-85.84320068359375,-17.6993408203125,533.867919921875,72.99462890625,48.64794921875
530.1456298828125,233.31640625,291.446044921875,-152.9139404296875,320.33544921875,-87.17413330078125,13.77203369140625,600.9111328125,70.03759765625,47.1444091796875
497.4578857421875,251.8673095703125,265.3665771484375,-178.03839111328125,313.35205078125,-118.58233642578125,99.407958984375,515.6109619140625,72.9281005859375,60.6422119140625
514.7757568359375,327.7132568359375,277.6085205078125,-150.29376220703125,292.3123779296875,-137.3226318359375,22.892578125,480.44873046875,93.3564453125,72.5616455078125
501.8546142578125,251.2581787109375,293.710693359375,-143.73291015625,298.30908203125,-140.19696044921875,31.5650634765625,472.1669921875,69.7781982421875,56.8798828125
480.537841796875,352.7750244140625,298.7896728515625,-156.00439453125,288.4796142578125,-127.48822021484375,42.9259033203125,551.496337890625,84.5072021484375,66.6007080078125
