a_C,a_Mo,a_Mn,a_V,a_Ni,a_Al,a_Si,a_Cr,C0,a_Co
150.03680419921875,450.9957275390625,322.56134033203125,322.0394287109375,65.33526611328125,-47.56591796875,53.80615234375,253.929931640625,31.1766357421875,367.6715087890625
159.67095947265625,481.689208984375,221.748779296875,477.7071533203125,62.9576416015625,-160.959228515625,94.71331787109375,275.1572265625,41.302001953125,453.8753662109375
135.5068359375,464.7789306640625,323.492431640625,565.394287109375,64.033935546875,-130.03466796875,52.18804931640625,278.0537109375,35.4371337890625,509.89013671875
164.8743896484375,491.5119323730469,298.16436767578125,446.6756591796875,60.6859130859375,-181.831298828125,72.89154052734375,245.943359375,2.9305419921875,367.48004150390625
158.32672119140625,499.8334655761719,289.72222900390625,375.5908203125,60.711181640625,-48.4093017578125,60.8531494140625,274.31475830078125,4.6181640625,282.69427490234375
138.33050537109375,489.519287109375,284.25439453125,539.8238525390625,71.35772705078125,-72.4840087890625,63.58392333984375,235.6859130859375,70.4609375,464.103515625
172.77764892578125,476.7608642578125,303.97723388671875,568.712646484375,49.6727294921875,-185.4681396484375,48.37445068359375,258.1683349609375,9.9530029296875,455.29217529296875
162.2418212890625,490.1462097167969,296.98175048828125,627.2581787109375,86.165283203125,-109.54541015625,69.42620849609375,235.4095458984375,14.2379150390625,345.39044189453125
160.89434814453125,463.65618896484375,286.306884765625,834.064453125,62.37530517578125,-109.2198486328125,47.85699462890625,244.87738037109375,46.91162109375,294.8106689453125
175.66888427734375,460.1539306640625,280.0279541015625,675.7775268554688,55.11163330078125,-78.246826171875,65.9085693359375,248.20135498046875,23.0997314453125,309.27166748046875
163.88153076171875,434.0079345703125,308.26171875,569.3797607421875,40.7904052734375,-165.4925537109375,57.3719482421875,248.376708984375,51.9515380859375,265.91571044921875
154.7535400390625,489.8976745605469,267.49090576171875,369.42138671875,68.1495361328125,-191.130859375,77.44976806640625,275.712646484375,21.893798828125,424.75244140625
142.3734130859375,480.47100830078125,303.1055908203125,411.97357177734375,64.91485595703125,-76.309326171875,57.45513916015625,247.96368408203125,62.106201171875,234.905029296875
132.74371337890625,474.10498046875,325.23992919921875,422.12066650390625,70.05902099609375,-118.7379150390625,54.08563232421875,255.3070068359375,50.83447265625,357.00115966796875
146.564453125,509.3630065917969,273.760498046875,467.8465576171875,70.4625244140625,-128.2515869140625,78.1180419921875,264.5455322265625,4.2454833984375,507.5190124511719
141.4495849609375,478.42913818359375,297.8095703125,255.361572265625,65.71795654296875,-76.305419921875,63.24993896484375,244.0662841796875,54.9237060546875,399.140380859375
166.67303466796875,477.14031982421875,285.89703369140625,412.50640869140625,60.5941162109375,-79.2216796875,64.03094482421875,268.44482421875,11.364990234375,369.93682861328125
157.067626953125,471.13995361328125,296.01800537109375,219.86053466796875,66.7930908203125,-87.8389892578125,72.932373046875,242.18585205078125,15.078369140625,328.14190673828125
162.46484375,494.4970703125,280.9923095703125,458.77288818359375,65.4981689453125,-61.4814453125,51.254638671875,267.100341796875,35.4437255859375,341.36236572265625
141.57354736328125,496.4760437011719,321.882568359375,553.32275390625,74.3134765625,-28.6553955078125,69.1451416015625,249.26251220703125,2.4814453125,274.62091064453125
145.5045166015625,451.75042724609375,326.3934326171875,440.71759033203125,57.10394287109375,-98.7198486328125,36.89984130859375,271.33050537109375,41.62255859375,232.8018798828125
142.01861572265625,475.06500244140625,316.4708251953125,411.51214599609375,66.41253662109375,-101.7655029296875,63.6080322265625,257.16552734375,33.4925537109375,201.8211669921875
177.81219482421875,434.3135986328125,246.34539794921875,564.5314331054688,43.50799560546875,-47.8817138671875,57.999755859375,243.77056884765625,77.4639892578125,236.6881103515625
140.57037353515625,476.07659912109375,284.3409423828125,384.26605224609375,71.371337890625,-105.18017578125,66.278076171875,260.68426513671875,35.5390625,352.6268310546875
161.83758544921875,452.71044921875,300.33331298828125,254.24261474609375,46.88568115234375,-76.1654052734375,66.427734375,280.34051513671875,21.02490234375,198.90802001953125
155.39569091796875,479.0244140625,285.46343994140625,261.010498046875,46.66156005859375,-197.786865234375,55.4969482421875,273.77166748046875,39.7987060546875,440.29156494140625
153.505126953125,512.2598876953125,337.80694580078125,174.9307861328125,70.4285888671875,-20.8587646484375,45.35650634765625,269.6480712890625,0.34814453125,244.72039794921875
164.4072265625,464.36932373046875,281.3929443359375,-36.48876953125,67.78436279296875,-157.8675537109375,72.8394775390625,261.5360107421875,14.0789794921875,400.78924560546875
