e_Mo,e_Co,e_0,e_Cr,e_Mn,sigma,e_C,e_Al,e_V,e_Ni,e_Si,nu
-72.39947509765625,-16.95111083984375,743.7408447265625,-50.968902587890625,-73.95845031738281,18.91905975341797,-36.355194091796875,16.827972412109375,-44.647003173828125,-28.466094970703125,-8.25177001953125,18.636281967163086
-72.88681030273438,-13.568817138671875,738.97021484375,-50.97993469238281,-68.82637023925781,18.27085304260254,-33.87890625,-9.552978515625,-52.26945495605469,-26.85113525390625,-8.98309326171875,24.748443603515625
-73.71969604492188,-33.732147216796875,749.6795654296875,-50.47032165527344,-74.13119506835938,19.0965518951416,-37.3623046875,15.910400390625,-80.07656860351562,-29.507965087890625,-7.36383056640625,12.346644401550293
-72.72930908203125,-53.70774841308594,743.3839111328125,-51.06636047363281,-63.304931640625,19.56778335571289,-34.586334228515625,36.23828125,-49.51629638671875,-30.59478759765625,-15.227569580078125,13.628609657287598
-76.05606079101562,-33.588897705078125,754.393798828125,-50.77702331542969,-75.63229370117188,17.300601959228516,-38.4031982421875,16.852294921875,-79.08598327636719,-28.56378173828125,-8.697845458984375,14.553580284118652
-75.09507751464844,-36.631500244140625,739.5591430664062,-48.854095458984375,-65.03720092773438,17.998661041259766,-36.146728515625,21.78375244140625,-14.68988037109375,-29.5343017578125,-10.894500732421875,15.55418872833252
-67.968017578125,-36.769805908203125,742.13671875,-45.19468688964844,-64.33734130859375,21.064329147338867,-41.034332275390625,27.4896240234375,-109.54023742675781,-29.735748291015625,-9.18048095703125,12.683963775634766
-75.59364318847656,-34.7373046875,748.5772094726562,-47.965728759765625,-78.19320678710938,20.485889434814453,-34.855133056640625,18.61669921875,-31.58062744140625,-32.19488525390625,-8.534759521484375,24.913820266723633
-74.66523742675781,-15.2071533203125,759.8692626953125,-52.10087585449219,-77.20306396484375,21.30677604675293,-41.82452392578125,10.304931640625,-73.81573486328125,-30.22564697265625,-6.404693603515625,33.028236389160156
-75.34858703613281,-34.119598388671875,757.7989501953125,-51.49681091308594,-71.18638610839844,20.517253875732422,-38.88604736328125,20.66156005859375,9.483856201171875,-32.050933837890625,-12.66314697265625,55.98398208618164
